IMDb ID,Title,Runtime (mins),Year,Genres,Release Date,IMDb Rating,Metascore,Rating,Box Office
tt1399683,Winter's Bone,100,2010,"Drama, Mystery",1/21/2010,7.2,90,R,6200000
tt0816692,Interstellar,169,2014,"Adventure, Drama, Sci-Fi",10/26/2014,8.6,74,PG-13,158737441
tt0831387,Godzilla,123,2014,"Action, Adventure, Sci-Fi, Thriller",5/8/2014,6.4,62,PG-13,172962996
tt2209418,Before Midnight,109,2013,"Drama, Romance",1/20/2013,7.9,94,R,8114507
tt2404463,The Heat,117,2013,"Action, Comedy, Crime",6/23/2013,6.6,60,R,158300000
tt1457767,The Conjuring,112,2013,"Horror, Mystery, Thriller",6/8/2013,7.5,68,R,137387272
tt0980970,The Chronicles of Narnia: The Voyage of the Dawn Treader,113,2010,"Adventure, Family, Fantasy",12/2/2010,6.3,53,PG,104383624
tt1196141,Diary of a Wimpy Kid,94,2010,"Comedy, Drama, Family",3/18/2010,6.2,56,PG,64001297
tt1433108,Faster,98,2010,"Action, Crime, Drama, Thriller",11/24/2010,6.5,44,R,23225911
tt1231587,Hot Tub Time Machine,101,2010,"Comedy, Sci-Fi",3/17/2010,6.4,63,R,48925682
tt0970866,Little Fockers,98,2010,"Comedy, Romance",12/22/2010,5.5,27,PG-13,148383780
tt0985694,Machete,105,2010,"Action, Crime, Thriller",9/1/2010,6.6,60,R,26200000
tt0464154,Piranha 3D,88,2010,"Comedy, Horror",8/20/2010,5.4,53,R,24900000
tt1220634,Resident Evil: Afterlife,96,2010,"Action, Adventure, Horror, Sci-Fi",9/2/2010,5.9,37,R,60128566
tt0963966,The Sorcerer's Apprentice,109,2010,"Action, Adventure, Family, Fantasy",7/6/2010,6.1,46,PG,63143812
tt1411704,Hop,95,2011,"Animation, Adventure, Comedy, Family, Fantasy",3/30/2011,5.4,41,PG,108012170
tt0472399,The Mechanic,93,2011,"Action, Crime, Thriller",1/13/2011,6.6,49,R,29113588
tt0822847,Priest,87,2011,"Action, Adventure, Horror, Sci-Fi",4/26/2011,5.7,41,PG-13,29100000
tt0472181,The Smurfs,103,2011,"Animation, Adventure, Comedy, Family, Fantasy",7/24/2011,5.5,30,PG,142614158
tt1622547,30 Minutes or Less,83,2011,"Action, Comedy, Crime",8/11/2011,6.1,49,R,37100000
tt1093357,The Darkest Hour,89,2011,"Action, Adventure, Horror, Sci-Fi, Thriller",12/22/2011,4.9,18,PG-13,21426805
tt1438176,Fright Night,106,2011,"Comedy, Horror",8/14/2011,6.4,64,R,18298649
tt1402488,Happy Feet Two,100,2011,"Animation, Adventure, Comedy, Family, Musical",11/17/2011,5.9,50,PG,63992328
tt1366344,The Sitter,81,2011,Comedy,12/9/2011,5.7,39,R,30200000
tt0905372,The Thing,103,2011,"Horror, Mystery, Sci-Fi",10/10/2011,6.2,49,R,16907450
tt1071875,Ghost Rider: Spirit of Vengeance,96,2011,"Action, Adventure, Crime, Fantasy, Sci-Fi, Thriller",12/11/2011,4.3,34,PG-13,51774002
tt1716777,People Like Us,114,2012,"Comedy, Drama",6/15/2012,7.1,49,PG-13,12431792
tt0383010,The Three Stooges,92,2012,"Comedy, Family",4/13/2012,5.1,56,PG,41800000
tt2084989,Upstream Color,96,2013,"Drama, Sci-Fi",1/21/2013,6.7,81,Not Rated,415067
tt1247690,Serena,109,2014,"Drama, History, Romance",10/13/2014,5.4,36,R,326289
tt2023690,Sightseers,88,2012,"Adventure, Comedy, Crime, Horror, Romance",5/23/2012,6.5,69,Not Rated,26183
tt1714203,Piranha 3DD,83,2012,"Comedy, Horror",5/11/2012,3.7,24,R,370904
